Subdiv,Year,Sales,Median Sold Price,Avg.SP,Median DOM,Avg.DOM,Median.SP.OLP,Median.SP.LP
Airmont Acres,2012,1,209000,209000,24,24,1.020009761,1.020009761
Airmont Acres,2013,1,302500,302500,152,152,0.976121329,0.976121329
Alapocas,2010,3,530000,545833.3333,16,37.66666667,0.953703704,0.953703704
Alapocas,2011,1,510000,510000,84,84,0.809652326,0.879461976
Alapocas,2012,7,600000,665000,3,33,0.96969697,0.983240223
Alapocas,2013,6,500000,508166.6667,72.5,99.66666667,0.981905801,0.981905801
Alban Park,2010,5,117500,107080,59,46.4,0.933288859,0.979983319
Alban Park,2011,7,107000,92099.85714,84,153.1428571,0.93495935,1
Alban Park,2012,3,105000,87000,74,220,0.856685348,0.892410342
Alban Park,2013,3,98000,86666.66667,101,84,0.884070058,0.934891486
Albertson Park,2010,5,219500,222500,37,103.6,0.988764045,0.992604126
Albertson Park,2011,5,184000,185080,93,165.8,0.924731183,0.963138494
Albertson Park,2012,2,204450,204450,88.5,88.5,0.984465508,0.984465508
Albertson Park,2013,5,179900,182380,10,108.6,1,1
Albion,2010,1,182000,182000,73,73,0.958399157,0.958399157
Albion,2011,2,68849.5,68849.5,327,327,0.675265534,0.840265259
Albion,2013,1,160000,160000,223,223,0.914285714,0.96969697
Altersgate,2012,1,214000,214000,13,13,0.973169623,0.973169623
Altersgate,2013,1,249000,249000,131,131,0.892793116,0.958060793
Amaranth,2010,1,439000,439000,23,23,0.954555338,0.954555338
Amaranth,2011,1,400000,400000,6,6,1,1
Amaranth,2012,1,475000,475000,51,51,0.863793417,0.863793417
Amber Ridge,2012,2,210500,210500,88,88,0.968351064,0.968351064
Amber Ridge,2013,1,209900,209900,107,107,1,1
Amberfield,2010,5,167500,165080,101,95,0.971159506,0.990990991
Amberfield,2011,5,115000,109600,62,73.6,0.870322019,1
Amberfield,2012,7,96000,96892.85714,58,115.1428571,0.863512284,0.962888666
Amberfield,2013,9,110000,107144.4444,53,161,0.933962264,0.980392157
Amberwood,2010,2,332500,332500,208.5,208.5,0.937032205,0.969300223
Amberwood,2011,1,400000,400000,145,145,0.909400932,0.930557171
Amberwood,2012,3,377000,376500,52,64,0.944862155,0.944862155
Amberwood,2013,7,380000,398464.2857,24,69.57142857,0.982905983,0.987432675
Analine Village,2011,1,57000,57000,38,38,0.791666667,0.791666667
Analine Village,2013,1,50000,50000,64,64,0.770416025,0.834724541
Anglesey,2010,2,467500,467500,197,197,0.919862047,0.931811235
Anglesey,2011,1,315900,315900,562,562,0.90282938,0.957562898
Anglesey,2012,2,420000,420000,54,54,0.830241862,0.840624379
Anglesey,2013,1,419500,419500,6,6,0.975581395,0.975581395
Antrim,2010,3,440000,446500,179,209.6666667,0.962453066,0.977777778
Antrim,2011,5,443000,449600,159,213.6,0.91,0.936363636
Antrim,2013,1,420000,420000,115,115,0.943820225,0.979020979
Anvil Park,2010,5,246000,231920,29,53.6,0.992080033,0.992080033
Anvil Park,2011,2,222000,222000,195.5,195.5,0.891501539,0.95856537
Anvil Park,2012,2,221000,221000,86,86,0.954928226,0.976192192
Applecross,2010,3,1800000,1833333.333,29,119.6666667,0.972276238,0.972276238
Applecross,2011,1,2076000,2076000,2,2,0.988571429,0.988571429
Applecross,2012,2,1957500,1957500,55,55,0.91642568,0.91642568
Applecross,2013,1,2225000,2225000,119,119,0.929018789,0.936842105
Appoquin,2013,1,90500,90500,62,62,0.702225395,0.702225395
Appoquin Farms,2010,2,289950,289950,123.5,123.5,0.954531676,1
Appoquin Farms,2011,6,287850,293950,75,131.1666667,0.954797792,0.967573289
Appoquin Farms,2012,6,327750,309233.1667,78,81.66666667,0.985163694,0.994416007
Appoquin Farms,2013,4,281000,279250,164.5,161.5,0.910113471,0.965567042
Arbor Place,2011,1,62000,62000,18,18,0.96875,0.96875
Arbor Place,2012,1,85000,85000,63,63,1,1
Arbour Park,2010,2,295500,295500,35.5,35.5,0.994263019,0.994263019
Arbour Park,2012,9,289000,276377.7778,37,87.22222222,0.935577857,0.959610028
Arbour Park,2013,2,284450,284450,61.5,61.5,0.961303144,0.990163934
Arden,2010,6,304750,260333.3333,90,134.3333333,0.931063977,0.961594745
Arden,2011,1,299900,299900,282,282,0.967731526,1
Arden,2012,2,103500,103500,142,142,0.667980253,0.769803557
Arden,2013,7,329000,313500,43,131.5714286,0.940268648,0.940268648
Ardencroft,2010,2,245000,245000,300,300,0.934362934,0.934362934
Ardencroft,2011,3,195000,221000,21,114.3333333,0.976377953,0.976377953
Ardencroft,2012,1,230000,230000,70,70,0.93877551,0.966386555
Ardencroft,2013,4,261250,280125,12.5,73.75,1,1
Ardentown,2010,2,296000,296000,23.5,23.5,0.950153682,0.950153682
Ardentown,2011,1,190000,190000,682,682,0.763052209,0.763052209
Ardentown,2012,1,236500,236500,12,12,0.971252567,0.971252567
Ardentown,2013,1,375000,375000,1,1,1,1
Arundel,2010,6,250000,254816.6667,76.5,77.16666667,0.913948555,0.958780564
Arundel,2011,9,243500,233444.4444,204,222.8888889,0.895050895,0.961199295
Arundel,2012,10,225000,232940,65,92.6,0.973139551,0.983426728
Arundel,2013,4,242000,241750,21,26.75,0.978214245,0.986452908
Asbury Chase,2010,3,385000,361333.3333,89,91,0.927710843,1
Asbury Chase,2011,2,473500,473500,39.5,39.5,0.922339552,0.922339552
Asbury Chase,2012,6,340750,316916.6667,195.5,203.3333333,0.925926985,0.957909075
Asbury Chase,2013,4,396500,390750,164,165.25,0.963714092,0.977809643
Ascot Landing,2013,1,62500,62500,94,94,0.607385811,0.954198473
Ashbourne Hills,2010,18,223450,212916.6667,75,103.5555556,0.946010778,0.980175799
Ashbourne Hills,2011,9,184900,176866.6667,49,117,0.976236964,0.976236964
Ashbourne Hills,2012,28,187560,181605.1786,68,158.25,0.928733326,0.967666952
Ashbourne Hills,2013,18,201500,179888.8333,69,80.61111111,0.94590289,0.955068488
Ashley,2010,1,155000,155000,304,304,0.969355847,0.969355847
Ashley,2011,4,116950,106475,141,137.75,0.792803194,0.968375663
Ashley,2012,6,75000,174650,20.5,61.5,0.922767392,0.922767392
Ashley,2013,3,146000,135937.6667,7,8.666666667,0.972762646,0.972762646
Ashley Heights,2011,3,155000,135000,48,60,0.975456262,0.975456262
Ashley Heights,2012,3,166900,167600,73,282.6666667,0.959195402,1
Ashley Heights,2013,2,177500,177500,137,137,0.891122404,0.921266956
Ashton Condo,2010,5,110000,108180,198,186.8,0.901558655,0.965811966
Ashton Condo,2011,4,82000,84250,107.5,109.5,0.79595741,0.898978932
Ashton Condo,2012,11,61601,61691,123,150.4545455,0.807259074,0.886981402
Ashton Condo,2013,8,64000,63362.5,61.5,103.5,0.914871795,0.914871795
Aspen Woods,2010,1,222000,222000,33,33,1,1
Aspen Woods,2011,3,185000,195000,123,108,0.902040816,0.98265896
Aspen Woods,2012,5,160000,161900,33,69.4,0.931832395,0.953307393
Aspen Woods,2013,3,179000,174666.6667,11,64,1,1
Auburn,2010,3,400000,360000,40,98.66666667,0.830769231,0.952607764
Auburn,2011,2,408829,408829,49,49,0.916034463,0.93485424
Augustine Creek,2010,12,396950,420074.1667,107.5,260.25,0.941981095,0.961473038
Augustine Creek,2011,10,372450,378978,55.5,57.5,0.978121529,0.98344619
Augustine Creek,2012,12,402450,394275,88.5,152.9166667,0.927320164,0.996445207
Augustine Creek,2013,12,429645,425570,45.5,117.4166667,0.993506494,0.993506494
Augustine Hills,2010,1,233500,233500,130,130,0.778592864,0.962886598
Augustine Hills,2011,1,230000,230000,270,270,0.920368147,0.958732805
Augustine Ridge,2011,1,497500,497500,59,59,0.906193078,0.906193078
Augustine Ridge,2012,1,525000,525000,6,6,0.95471904,0.95471904
Augustine Ridge,2013,2,552500,552500,20,20,0.953195812,0.96774269
Autumn Hills,2010,2,515000,515000,101.5,101.5,0.859158914,0.940021894
Autumn Hills,2012,2,556250,556250,123.5,123.5,0.884183132,0.948314013
Autumnwood,2010,2,625000,625000,86.5,86.5,0.935519755,0.969977132
Autumnwood,2011,2,567500,567500,60,60,0.945334614,0.955151914
Autumnwood,2013,3,500000,574166.6667,24,45.66666667,0.963333333,0.963333333
Avalon,2012,1,191900,191900,294,294,0.95997999,0.95997999
Avonbridge,2010,4,191250,190622.5,46,56,0.932920112,0.969779086
Avonbridge,2011,1,185000,185000,135,135,0.860465116,1
Avonbridge,2012,2,202450,202450,302,302,1,1.000002274
Avonbridge,2013,3,210000,203333.3333,60,122,0.929648241,1
Back Creek,2010,7,417000,417714.2857,33,38.28571429,0.915555556,0.958333333
Back Creek,2011,7,435000,424714.2857,126,222.7142857,0.936187237,0.947567909
Back Creek,2012,7,370000,367000,164,202.2857143,0.915993733,0.96
Back Creek,2013,12,452500,448045.5833,46,106.1666667,0.963815789,0.985422809
Back Creek Country,2012,1,320000,320000,91,91,0.909090909,0.972644377
Baker Farms,2010,1,355000,355000,592,592,0.816091954,0.959718843
Baker Farms,2011,1,361000,361000,111,111,0.928020566,0.975939443
Baker Farms,2012,1,136500,136500,158,158,0.581841432,0.684210526
Baldton,2010,9,120000,119833.3333,80,103.2222222,0.899933289,1
Baldton,2011,4,66000,76750,71,68.75,0.75,1
Baldton,2012,2,149950,149950,140,140,0.88919598,1
Ballymeade,2010,7,326000,327285.7143,31,46.57142857,0.949206349,0.959034614
Ballymeade,2011,10,326500,331550,67.5,92.3,0.940671566,0.950742738
Ballymeade,2012,5,330000,336980,13,22.2,0.985915493,0.985915493
Ballymeade,2013,9,328000,364933.3333,49,49.33333333,0.958196477,0.972719006
Bancroft Crossing,2010,1,275000,275000,21,21,1,1
Bancroft Crossing,2012,1,232800,232800,68,68,0.831725616,0.862541682
Bancroft Square,2011,2,246500,246500,382,382,0.963468429,1.006661105
Bancroft Square,2013,3,290000,280354.6667,85,70.33333333,0.936037441,0.966183575
Bancroft Village,2011,1,285000,285000,133,133,0.953177258,0.953177258
Bancroft Village,2013,5,300000,294380,27,65.6,0.948813559,0.970873786
Barbs Farm,2010,1,340000,340000,247,247,0.944706863,0.971706202
Barbs Farm,2011,3,296900,328966.6667,63,179.3333333,0.951919974,0.987746937
Barbs Farm,2012,2,366000,366000,47.5,47.5,0.950600838,0.950600838
Barbs Farm,2013,2,345500,345500,87,87,0.921369442,0.9551344
Barkley,2013,2,280000,280000,142,142,0.980876588,0.980876588
Barksdale Estates,2010,3,215000,217000,59,46.66666667,0.955980436,0.95890411
Barksdale Estates,2012,3,169000,170666.6667,18,27.33333333,0.959387875,0.994702766
Barksdale Estates,2013,3,174500,168800,127,107,0.973670353,0.991477273
Barksdale Ests,2011,1,205000,205000,45,45,0.97665555,0.97665555
Barksdale Ests,2012,1,200000,200000,230,230,0.869565217,0.930232558
Barley Mill,2012,1,485000,485000,41,41,0.932871706,0.932871706
Barley Mill,2013,1,525000,525000,63,63,0.921861282,0.921861282
Barley Mill Ct,2010,3,525000,558333.3333,147,176.3333333,0.833472245,0.910746812
Barley Mill Ct,2011,1,530000,530000,19,19,0.990839409,0.990839409
Barley Mill Ct,2012,5,570000,534280,56,73.6,0.962616822,0.962616822
Barley Mill Ct,2013,1,775000,775000,67,67,1,1
Barley Woods,2010,2,807500,807500,13,13,1,1
Barrett Run,2010,5,202000,199980,77,114,0.943306336,0.985846755
Barrett Run,2011,4,170000,168125,57.5,79,0.92718227,0.966962755
Barrett Run,2012,8,165100,158050.5,115.5,207.625,0.934013216,0.940573378
Barrett Run,2013,13,175000,171784.6154,36,72.38461538,0.973684211,1
Barrington,2010,5,210000,234000,46,87.6,0.975487744,0.975534221
Barrington,2011,3,214900,210966.6667,142,133.3333333,0.934388452,0.970873786
Barrington,2012,5,180000,190100,33,34.4,0.972972973,0.972972973
Barrington,2013,5,215000,221800,20,18.6,0.961538462,0.961538462
Bay Pointe,2010,3,430000,431166.6667,18,22.33333333,0.972941176,0.972941176
Bay Pointe,2011,6,477500,458000,63,55.5,0.943385737,0.972783659
Bay Pointe,2012,5,449900,457320,37,85,0.955296999,0.985263158
Bay Pointe,2013,7,459900,436985.7143,26,105.5714286,0.97,0.985855122
Bay View Beach,2010,2,225000,225000,303.5,303.5,0.846521304,0.913478056
Bay View Beach,2013,1,180000,180000,163,163,0.923076923,0.947368421
Bayard Square,2010,1,164900,164900,78,78,0.916620345,0.970570924
Bayard Square,2011,1,145000,145000,373,373,0.829045169,0.967311541
Bayard Square,2012,3,230000,186000,126,114.6666667,0.904193921,0.93877551
Bayard Square,2013,6,129500,133308.3333,51,64.66666667,0.942501675,0.956291159
Bayview,2010,1,280000,280000,20,20,0.933644548,1
Bayview,2011,1,135000,135000,89,89,0.818181818,1.003717472
Bayview Manor,2010,3,310000,302500,57,49.66666667,0.914416345,0.95722663
Bayview Manor,2011,2,276000,276000,90.5,90.5,0.888366435,0.961066227
Bayview Manor,2012,3,265000,285712.3333,8,30,1.015384615,1.019622932
Bayview Manor,2013,2,289950,289950,37.5,37.5,0.982136477,0.990905784
Bayview Manor II,2010,3,275000,282333.3333,133,120,0.948275862,1
Bayview Manor II,2011,2,285000,285000,68.5,68.5,0.92186685,0.966707196
Bayview Manor II,2012,5,255000,250180,54,121.2,0.892857143,0.984351145
Bayview Manor II,2013,5,267000,266100,28,39.2,0.963636364,0.963636364
Beacon Hill,2010,3,369900,314633.3333,78,59.66666667,0.964556962,1
Beacon Hill,2011,4,203000,225875,70,68,0.899515256,0.961393056
Beacon Hill,2012,3,319900,283633.3333,52,56.33333333,0.918059742,0.957416405
Beacon Hill,2013,3,340000,294166.6667,8,8.666666667,1,1
Bear Crossing,2012,2,242500,242500,9.5,9.5,0.968945394,0.968945394
Beau Tree,2011,2,399000,399000,32,32,0.974311939,0.974311939
Beau Tree,2012,1,384900,384900,25,25,0.962490623,1
Beaulieu,2010,2,355000,355000,7.5,7.5,0.981386393,0.981386393
Beaulieu,2011,4,390000,363725,23.5,34.25,0.929887131,0.929887131
Beaulieu,2012,1,370000,370000,16,16,1.147286822,1.147286822
Beaulieu,2013,8,323750,331700,57.5,98.5,0.973625,0.987018715
Beaver Brook Crest,2010,2,155000,155000,38,38,0.983976455,0.983976455
Beaver Brook Crest,2011,4,174950,172975,123,174.5,0.986103391,0.994689771
Beaver Brook Crest,2012,4,130500,117500,36.5,78,0.876982046,0.925669765
Beaver Brook Crest,2013,8,151500,132862.5,20,75.5,0.989126069,0.995495495
Becks Landing,2011,1,76300,76300,340,340,0.492575855,0.848720801
Becks Landing,2012,4,97050,97525,38.5,44.75,0.92635468,0.989399745
Becks Landing,2013,2,66500,66500,10,10,0.905719744,0.905719744
Becks Woods,2010,8,196500,193537.5,110,129.25,0.91939714,0.961771767
Becks Woods,2011,11,170000,188918.1818,186,195.1818182,0.876958986,0.968858131
Becks Woods,2012,10,160460,177648.1,68.5,79.8,0.986686391,0.993617021
Becks Woods,2013,13,145000,153340.7692,44,99.69230769,0.969355847,0.969355847
Beech Hill,2010,2,411000,411000,186.5,186.5,0.961354309,0.967058824
Beech Hill,2011,8,376500,371750,29.5,73.75,0.988116197,0.988116197
Beech Hill,2012,5,355000,326580,133,98.2,0.992748187,0.992748187
Beech Hill,2013,3,375000,374343.3333,35,90.33333333,0.937734434,0.961785073
Beechers Lot,2010,2,267450,267450,72.5,72.5,0.963940576,0.981659874
Beechers Lot,2011,2,210000,210000,107.5,107.5,0.936361395,0.953933649
Beechers Lot,2013,1,237000,237000,29,29,0.98791163,0.98791163
Beechwold,2010,1,967500,967500,58,58,0.80625,0.80625
Beechwold,2012,1,530000,530000,185,185,0.821705426,0.92173913
Belden,2010,2,414738,414738,154,154,0.909843999,0.960340961
Belden,2011,4,402000,406375,207.5,188.5,0.934966109,0.971685621
Belden,2012,4,386950,390975,88,188.75,0.933985312,0.989685867
Belden,2013,5,400011,418667.8,106,148.6,0.954926197,0.968819599
Belford Manor,2011,2,262500,262500,254,254,0.813967885,0.925203576
Belford Manor,2012,1,161000,161000,112,112,0.805402701,0.805402701
Belford Manor,2013,1,162000,162000,73,73,0.905027933,0.905027933
Bella Vista,2010,3,435000,445000,126,100.3333333,0.96000192,0.96000192
Bella Vista,2012,2,439000,439000,21,21,1.013131313,1.013131313
Bella Vista,2013,3,439000,397333.3333,15,11.33333333,0.984444444,0.984444444
Belle Terre,2010,3,444000,440000,34,29.33333333,0.934736842,0.965770171
Belle Terre,2011,4,461000,456250,43.5,70.75,0.973385078,0.984165806
Belle Terre,2012,1,350000,350000,130,130,0.877192982,0.972492359
Belle Terre,2013,4,437193.5,429596.75,23,33.75,0.964242908,0.979596824
Bellefonte,2010,16,176000,174170.375,86.5,98.4375,0.910696131,0.93623296
Bellefonte,2011,7,169900,158507.1429,24,44,0.938854919,0.971412236
Bellefonte,2012,20,174000,177058.25,46.5,97.75,0.948343693,0.956196292
Bellefonte,2013,18,204500,190544.4444,44,129.8333333,0.941803721,0.975287808
Bellemeade,2013,1,257000,257000,11,11,1.008238525,1.008238525
Bellemoor,2010,7,185000,171914.2857,91,91.42857143,0.936708861,0.974858902
Bellemoor,2011,10,164950,154440,26,74.5,0.938021081,0.96414471
Bellemoor,2012,13,145000,140492.3077,80,121.1538462,0.888055034,0.955254237
Bellemoor,2013,10,166950,162540,94,161.8,0.967497802,0.985215207
Bellevue,2012,1,299900,299900,64,64,0.922769231,1
Bellevue Hills,2011,1,276000,276000,214,214,0.986066452,0.986066452
Bellevue Hills,2013,1,359900,359900,39,39,0.923057194,1
Bellevue Manor,2010,4,302500,297500,51,51.5,0.923906312,0.961101536
Bellevue Manor,2011,1,335000,335000,100,100,0.881811003,0.957416405
Bellevue Manor,2012,6,369000,360416.6667,26.5,60.66666667,0.942901007,0.967561141
Bellevue Manor,2013,1,305000,305000,130,130,0.938461538,0.938461538
Bellevue Manor Add,2010,2,158000,158000,142.5,142.5,0.83159872,0.97461927
Bellevue Manor Add,2011,2,209000,209000,48.5,48.5,0.853555366,0.958154235
Bellevue Manor Add,2013,7,207900,191342.8571,56,72.42857143,0.949781659,0.968366688
Bellewood,2010,1,240000,240000,11,11,0.972053463,0.972053463
Bellewood,2012,3,185000,195300,27,24,0.948717949,0.948717949
Bellmoor,2013,1,86001,86001,13,13,1.000011628,1.000011628
Belltown Woods,2010,2,220000,220000,108.5,108.5,0.851132075,0.968230548
Belltown Woods,2011,1,180000,180000,452,452,0.741045698,0.947867299
Belltown Woods,2012,2,202500,202500,97.5,97.5,0.89117074,0.967195927
Belltown Woods,2013,1,252500,252500,84,84,1,1
Bellwether,2010,2,177500,177500,160,160,0.923198086,0.986749594
Bellwether,2013,1,157000,157000,53,53,0.951515152,0.98125
Bellwether Manor,2011,1,118000,118000,141,141,0.711271851,0.960130187
Belvedere,2010,3,218000,193333.3333,267,268,0.91704877,0.961118392
Belvedere,2011,4,130000,131462.5,142,122.75,0.956397556,0.97869055
Belvedere,2012,3,45200,104946.3333,56,52.33333333,1.004444444,1.004444444
Belvedere,2013,7,119900,107448.4286,94,242.7142857,0.860732233,0.960768615
Belvidere,2012,1,60000,60000,83,83,0.6,0.705882353
Bentley Place,2010,2,269500,269500,183.5,183.5,0.954394932,1.001043533
Bentley Place,2011,3,257700,257900,85,101,0.893730547,0.991535206
Bentley Place,2012,1,205000,205000,74,74,1,1
Bentley Place,2013,2,247625,247625,57,57,0.946059344,0.946407417
Benton,2010,1,400000,400000,100,100,0.911369332,0.941176471
Berkeley Farms,2010,2,376000,376000,173,173,0.949239858,0.967143684
Berkeley Farms,2011,2,317500,317500,66.5,66.5,0.91522362,0.921574823
Berkeley Farms,2013,1,375000,375000,28,28,0.937734434,0.937734434
Berkeley Ridge,2010,1,335000,335000,105,105,0.837709427,0.893333333
Berkeley Ridge,2012,1,350000,350000,556,556,0.959166895,0.972492359
Berkshire,2010,5,187000,198380,108,97.8,0.925898481,0.959112658
Berkshire,2011,5,168875,191775,57,178.8,0.94037615,0.965
Berkshire,2012,8,135000,159125,48,137,0.933147639,0.956586243
Berkshire,2013,6,213750,206916.6667,39,77,0.928485387,0.956897493
Bestfield,2010,1,181000,181000,5,5,0.997245179,0.997245179
Bestfield,2011,5,175000,166380,72,60.2,0.867079562,0.943665999
Bestfield,2012,3,145000,138333.3333,197,377.6666667,0.8793208,0.880704564
Bestfield,2013,1,123000,123000,5,5,0.946882217,0.946882217
Beverly Woods,2011,1,324000,324000,23,23,0.998459168,0.998459168
Beverly Woods,2012,3,317900,314466.6667,56,45.33333333,0.978454909,0.978454909
Biggs Farm,2013,4,420282.5,418577.5,279,247,1.282227698,1.176758589
Binns,2010,6,191500,190000,79,83.83333333,0.947619048,0.964549064
Binns,2011,1,160000,160000,218,218,0.8004002,0.8004002
Binns,2012,4,164250,164875,15.5,148,0.973632747,0.973632747
Binns,2013,2,208450,208450,34,34,0.970475931,0.993091949
Birch Knoll,2010,2,281666.5,281666.5,173.5,173.5,0.974202248,0.974202248
Birch Knoll,2011,3,250000,247166.6667,97,161.3333333,0.913813005,0.95959596
Birch Knoll,2013,2,327450,327450,85.5,85.5,0.988263437,0.991525424
Birch Pointe,2010,14,140000,133285.7143,95,129.5714286,0.935097436,0.965817262
Birch Pointe,2011,11,130000,130409.0909,89,108.1818182,0.958156458,0.966183575
Birch Pointe,2012,9,106000,104331.2222,145,220,0.917176209,0.979591837
Birch Pointe,2013,23,112000,113534.7826,40,85.43478261,0.93445527,0.965517241
Birchwood Park,2010,8,144950,143750,35.5,53.25,0.992364402,1
Birchwood Park,2011,4,161450,152475,84.5,113.25,0.928320106,0.975485172
Birchwood Park,2012,12,128500,132150,47,52.75,0.964759482,0.967797009
Birchwood Park,2013,9,150000,145695.5556,30,58.66666667,0.938086304,0.985120575
Bishops Walk,2011,1,300000,300000,96,96,0.93779306,0.93779306
Bishops Walk,2012,1,315000,315000,79,79,0.92674316,0.954834798
Bishops Walk,2013,1,339900,339900,8,8,1,1
Blackbird,2010,1,330000,330000,132,132,0.945829751,0.945829751
Blackbird,2012,3,222500,255000,14,38.66666667,0.98932859,0.98932859
Blackbird,2013,1,52000,52000,54,54,0.742857143,0.742857143
Blackbird Hundred,2012,2,312950,312950,22,22,1.03526027,1.03526027
Blackbird Landing,2010,2,220000,220000,91.5,91.5,0.9265625,0.95
Blackbird Meadows,2010,1,105000,105000,61,61,0.677419355,0.712830957
Blair Village,2010,2,134950,134950,150.5,150.5,0.928847245,0.983271375
Blair Village,2011,1,92500,92500,84,84,0.77147623,0.849403122
Blair Village,2012,1,103000,103000,192,192,0.792917629,0.895652174
Blair Village,2013,4,121000,111812.5,90.5,100.25,0.939142253,0.939142253
Blairville Court,2010,3,164900,162966.6667,23,47,0.942824471,0.993995997
Blairville Court,2011,7,102000,113200,131,158.4285714,0.816,0.973982655
Blairville Court,2012,2,92750,92750,19,19,0.932432432,0.932432432
Blairville Court,2013,2,136450,136450,13.5,13.5,0.961290323,0.961290323
Blue Rock Manor,2010,9,259850,254094.4444,96,94,0.927835052,0.984994229
Blue Rock Manor,2011,9,268000,262611.1111,56,92.77777778,0.920334667,0.967741935
Blue Rock Manor,2012,11,215000,224272.7273,60,102.1818182,0.917431193,0.956937799
Blue Rock Manor,2013,10,262750,251415,36.5,73.4,0.970701239,1
Bohemia Mill Pond,2011,1,730000,730000,166,166,0.973333333,0.973333333
Bohemia Mill Pond,2012,4,522500,522500,403,387,0.928858542,0.947658847
Bohemia Mill Run,2011,1,225000,225000,121,121,0.900360144,0.900360144
Bon Ayre,2010,1,413000,413000,7,7,0.983333333,0.983333333
Bon Ayre,2011,2,315000,315000,192,192,0.859975507,0.92674316
Bon Ayre,2012,5,335000,323533.4,11,70.2,0.957142857,0.957142857
Bon Ayre,2013,4,372500,375000,193.5,263,0.979398808,1.000135172
Bon Mont,2011,1,665000,665000,211,211,0.950135734,1
Boothhurst,2010,4,175000,178000,49,53,0.926010134,0.975383726
Boothhurst,2011,5,182900,182140,30,79.2,1,1
Boothhurst,2012,1,182000,182000,14,14,0.958399157,0.958399157
Boothhurst,2013,2,164000,164000,161.5,161.5,0.874395448,0.932513352
Boulder Brook,2011,1,249900,249900,20,20,0.961523663,1
Boulder Brook,2012,1,250000,250000,113,113,0.943396226,0.943396226
Boulder Brook,2013,1,200000,200000,6,6,1.143510577,1.143510577
Bowman,2011,1,195000,195000,71,71,0.886766712,0.886766712
Boxwood,2010,1,210000,210000,452,452,0.954979536,0.954979536
Boxwood,2011,1,149000,149000,110,110,0.931832395,0.993995997
Boxwood,2012,1,208500,208500,146,146,0.947727273,0.970218706
Boxwood,2013,3,168000,162333.3333,58,89.33333333,0.988816951,0.988816951
Boxwood Addition,2010,4,235500,234375,209.5,231,0.951478821,0.981913811
Boxwood Addition,2012,2,164950,164950,126.5,126.5,0.989361702,0.989361702
Boxwood Addition,2013,5,179900,170710,19,22.6,1,1
Brackenville Woods,2010,3,352000,336000,145,145.3333333,0.914285714,0.923076923
Brackenville Woods,2012,3,355000,368333.3333,62,110.6666667,0.946919178,0.957145592
Brackenville Woods,2013,3,400000,391666.6667,33,33,0.933582289,0.961769656
Brack-ex,2010,6,172500,152333.3333,75,106.3333333,0.928998121,0.969664087
Brack-ex,2011,5,114000,114380,110,135,0.900750626,1
Brack-ex,2012,4,142444,141947,76,71.25,0.899959984,1
Brack-ex,2013,9,135750,127616.6667,100,95.33333333,0.968730457,0.986622074
Brandon,2011,1,235000,235000,426,426,0.870692849,0.989869632
Brandon,2012,1,300000,300000,4,4,1.016949153,1.016949153
Brandon,2013,1,275000,275000,64,64,0.956521739,0.983899821
